Test,Duration(s),Total,OK,Fail,Success%,RPS,Min(ms),Avg(ms),P50(ms),P95(ms),P99(ms),Max(ms)
Baseline Latency,255.04,19,19,0,100.0,0.07,2987.6,13422.5,14074.4,33032.5,33032.5,33032.5
Throughput (50 requests),524.79,50,50,0,100.0,0.10,967.5,10495.5,9099.7,22957.7,33182.5,33182.5
Concurrency (n=1),13.05,1,1,0,100.0,0.08,13046.3,13046.3,13046.3,13046.3,13046.3,13046.3
Concurrency (n=5),26.78,5,5,0,100.0,0.19,16640.0,20425.5,19973.8,26780.6,26780.6,26780.6
Concurrency (n=10),32.54,10,10,0,100.0,0.31,6066.8,17791.0,18843.3,32541.1,32541.1,32541.1
Concurrency (n=20),21.51,20,20,0,100.0,0.93,959.5,10394.6,9523.3,21507.5,21507.5,21507.5
Concurrency (n=50),35.03,50,38,12,76.0,1.43,4835.5,19720.1,9965.3,35011.0,35012.1,35012.1
"Load (10 users, 30s)",42.36,28,28,0,100.0,0.66,8397.2,11768.3,10761.0,22116.4,22175.9,22175.9
Stress (max=100),0.00,10,10,0,100.0,0.00,699.8,10686.0,9019.5,20275.4,20275.4,20275.4
Spike Test,0.00,60,59,1,98.3,0.00,2775.7,17643.9,19061.8,30689.7,35006.2,35006.2
